funcion	bytes	estado	archivo	detalle
func_80021120	112	TOPE_DE_TIEMPO	src/Screen/pantalla_g05.c	la verificacion no termino a tiempo
func_80021B4C	240	TOPE_DE_TIEMPO	src/Screen/pantalla_g05.c	la verificacion no termino a tiempo
func_80022528	60	TOPE_DE_TIEMPO	src/TexAnima/ciclos_g05.c	la verificacion no termino a tiempo
func_80022564	176	TOPE_DE_TIEMPO	src/TexAnima/ciclos_g05.c	la verificacion no termino a tiempo
func_80022BCC	384	TOPE_DE_TIEMPO	src/TexAnima/ciclos_g05.c	la verificacion no termino a tiempo
func_8004E194	164	TOPE_DE_TIEMPO	src/varios/banco_g11.c	la verificacion no termino a tiempo
func_8004E238	48	TOPE_DE_TIEMPO	src/varios/espera.c	la verificacion no termino a tiempo
func_8004E268	60	TOPE_DE_TIEMPO	src/varios/espera.c	la verificacion no termino a tiempo
func_8004E2A4	40	TOPE_DE_TIEMPO	src/varios/banco_e2xx.c	la verificacion no termino a tiempo
func_8004E2E4	72	TOPE_DE_TIEMPO	src/varios/banco_g11.c	la verificacion no termino a tiempo
func_8004E5D8	64	TOPE_DE_TIEMPO	src/varios/banco_e2xx.c	la verificacion no termino a tiempo
func_8004E7FC	112	TOPE_DE_TIEMPO	src/varios/banco_g11.c	la verificacion no termino a tiempo
func_8004EE24	208	TOPE_DE_TIEMPO	src/varios/tarjeta_g11.c	la verificacion no termino a tiempo
func_8004FC4C	184	TOPE_DE_TIEMPO	src/varios/tarjeta_g11.c	la verificacion no termino a tiempo
func_800508D4	92	TOPE_DE_TIEMPO	src/varios/tarjeta_g11.c	la verificacion no termino a tiempo
func_80051298	284	TOPE_DE_TIEMPO	src/varios/tarjeta_g11.c	la verificacion no termino a tiempo
