funcion	tamano	estado	detalle
func_800249CC	124	DISTINTO	func_800249CC: 0 de 2 capturas y 0 de 17 variantes iguales -> DISTINTO
func_80024A48	316	GTE	
func_80024DE4	8	SIN_CAPTURAS	
func_80024DEC	8	SIN_CAPTURAS	
func_80024DF4	8	IGUAL	func_80024DF4: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80024DFC	368	NO_COMPILA	src/auto/func_80024DFC.c:22:14: error: ‘saved_reg_s5’ undeclared (first use in this function)
func_80024F6C	8	IGUAL	func_80024F6C: 1 de 1 capturas y 30 de 30 variantes iguales -> IGUAL
func_80024F74	8	SIN_CAPTURAS	
func_80024F84	8	SIN_CAPTURAS	
func_80024F8C	104	IGUAL	func_80024F8C: 2 de 2 capturas y 1 de 1 variantes iguales -> IGUAL
func_80024FF4	96	IGUAL	func_80024FF4: 2 de 2 capturas y 1 de 1 variantes iguales -> IGUAL
func_8002505C	8	IGUAL	func_8002505C: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80025064	8	IGUAL	func_80025064: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8002506C	492	DISTINTO	func_8002506C: 1 de 1 capturas y 6 de 12 variantes iguales -> DISTINTO
func_80025258	72	IGUAL	func_80025258: 2 de 2 capturas y 22 de 22 variantes iguales -> IGUAL
func_800252A0	1088	DISTINTO	func_800252A0: 1 de 2 capturas y 0 de 18 variantes iguales -> DISTINTO
func_800256E0	188	NO_COMPILA	src/auto/func_800256E0.c:25:52: error: ‘func_8002579C’ undeclared (first use in this function); did you mean ‘func_80025
func_8002579C	8	SIN_CAPTURAS	
func_800257A4	80	DISTINTO	func_800257A4: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_800257F4	368	IGUAL	func_800257F4: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_80025964	68	DISTINTO	func_80025964: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_800259A8	104	IGUAL	func_800259A8: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80025A10	400	DISTINTO	func_80025A10: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80025BA0	240	NO_COMPILA	src/auto/func_80025BA0.c:10:5: error: ‘func_80027368’ undeclared here (not in a function)
func_80025C90	280	SIN_CAPTURAS	
func_80025DA8	44	SIN_CAPTURAS	
func_80025DD4	20	SIN_CAPTURAS	
func_80025EF8	820	NO_COMPILA	src/auto/func_80025EF8.c:47:17: error: too few arguments to function ‘D_8006CFA4’
func_8002622C	528	DISTINTO	func_8002622C: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_8002643C	632	DISTINTO	func_8002643C: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_800266B4	144	IGUAL	func_800266B4: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80026744	40	DISTINTO	func_80026744: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80026778	168	SIN_CAPTURAS	
func_80026820	1016	SIN_CAPTURAS	
func_80026C18	28	SIN_CAPTURAS	
func_80026C34	200	SIN_CAPTURAS	
func_80026CFC	84	SIN_CAPTURAS	
func_80026D50	96	SIN_CAPTURAS	
func_80026DB0	20	SIN_CAPTURAS	
func_80026DC4	32	SIN_CAPTURAS	
func_80026DE4	32	SIN_CAPTURAS	
func_80026E04	32	SIN_CAPTURAS	
func_80026E24	20	SIN_CAPTURAS	
func_80026E3C	12	SIN_CAPTURAS	
func_80026E48	132	SIN_CAPTURAS	
func_80026ECC	624	SIN_CAPTURAS	
func_8002713C	56	SIN_CAPTURAS	
func_80027174	212	SIN_CAPTURAS	
func_80027248	104	SIN_CAPTURAS	
func_800272B0	152	SIN_CAPTURAS	
func_80027348	32	SIN_CAPTURAS	
func_80027368	72	DISTINTO	func_80027368: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_800273B0	216	DISTINTO	func_800273B0: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80027488	172	DISTINTO	func_80027488: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80027534	196	DISTINTO	func_80027534: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_800275F8	916	NO_COMPILA	src/auto/func_800275F8.c:43:9: error: too few arguments to function ‘D_8006CF90’
func_80027998	32	SIN_CAPTURAS	
func_800279B8	76	IGUAL	func_800279B8: 2 de 2 capturas y 34 de 34 variantes iguales -> IGUAL
func_80027A04	204	DISTINTO	func_80027A04: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80027AD0	248	SIN_CAPTURAS	
func_80027BC8	212	SIN_CAPTURAS	
func_80027C9C	168	SIN_CAPTURAS	
func_80027D44	56	SIN_CAPTURAS	
func_80027D7C	116	SIN_CAPTURAS	
func_80027DF0	280	DISTINTO	func_80027DF0: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80027F08	68	DISTINTO	func_80027F08: 0 de 2 capturas y 0 de 22 variantes iguales -> DISTINTO
func_80027F4C	272	IGUAL	func_80027F4C: 2 de 2 capturas y 27 de 27 variantes iguales -> IGUAL
func_8002805C	636	DISTINTO	func_8002805C: 0 de 2 capturas y 0 de 24 variantes iguales -> DISTINTO
func_800282D8	124	SIN_CAPTURAS	
func_80028354	112	DISTINTO	func_80028354: 2 de 2 capturas y 37 de 60 variantes iguales -> DISTINTO
func_800283C4	568	SIN_CAPTURAS	
func_800285FC	624	NO_COMPILA	src/auto/func_800285FC.c:103:21: error: too many arguments to function ‘func_800285FC’
func_8002886C	1000	NO_COMPILA	src/auto/func_8002886C.c:100:13: error: too few arguments to function ‘D_8006CF88’
func_80028C54	172	SIN_CAPTURAS	
func_80028D0C	52	SIN_CAPTURAS	
func_80028D40	844	NO_COMPILA	src/auto/func_80028D40.c:45:17: error: too many arguments to function ‘func_80028D40’
func_8002908C	32	DISTINTO	func_8002908C: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_800290AC	160	IGUAL	func_800290AC: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8002914C	200	SIN_CAPTURAS	
func_80029214	732	IGUAL	func_80029214: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_800294F0	40	SIN_CAPTURAS	
func_80029518	24	SIN_CAPTURAS	
func_80029530	28	SIN_CAPTURAS	
func_800297CC	60	SIN_CAPTURAS	
func_80029808	40	IGUAL	func_80029808: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80029830	40	SIN_CAPTURAS	
func_80029858	40	IGUAL	func_80029858: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8002988C	144	SIN_CAPTURAS	
func_8002991C	16	DISTINTO	func_8002991C: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8002992C	16	DISTINTO	func_8002992C: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8002993C	12	DISTINTO	func_8002993C: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80029948	108	SIN_CAPTURAS	
func_800299B4	32	IGUAL	func_800299B4: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_800299D4	20	SIN_CAPTURAS	
func_800299E8	52	SIN_CAPTURAS	
func_80029A1C	52	SIN_CAPTURAS	
func_80029A50	32	IGUAL	func_80029A50: 2 de 2 capturas y 37 de 37 variantes iguales -> IGUAL
func_80029A70	32	IGUAL	func_80029A70: 2 de 2 capturas y 49 de 49 variantes iguales -> IGUAL
func_80029A90	20	DISTINTO	func_80029A90: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80029AA4	20	DISTINTO	func_80029AA4: 1 de 2 capturas y 16 de 60 variantes iguales -> DISTINTO
func_80029AB8	316	DISTINTO	func_80029AB8: 0 de 2 capturas y 6 de 6 variantes iguales -> DISTINTO
func_80029BF4	308	IGUAL	func_80029BF4: 2 de 2 capturas y 44 de 44 variantes iguales -> IGUAL
func_80029D28	332	DISTINTO	func_80029D28: 0 de 2 capturas y 3 de 3 variantes iguales -> DISTINTO
func_80029EB4	32	SIN_CAPTURAS	
func_80029ED4	36	SIN_CAPTURAS	
func_80029EF8	32	SIN_CAPTURAS	
func_80029F18	260	DISTINTO	func_80029F18: 0 de 2 capturas y 0 de 34 variantes iguales -> DISTINTO
func_8002A09C	1372	NO_COMPILA	src/auto/func_8002A09C.c:274:32: error: ‘sp19’ undeclared (first use in this function); did you mean ‘sp18’?
func_8002A5F8	216	IGUAL	func_8002A5F8: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8002A6D0	640	DISTINTO	func_8002A6D0: 0 de 2 capturas y 0 de 31 variantes iguales -> DISTINTO
func_8002A950	712	DISTINTO	func_8002A950: 0 de 2 capturas y 0 de 45 variantes iguales -> DISTINTO
func_8002AC18	1036	DISTINTO	func_8002AC18: 0 de 2 capturas y 0 de 38 variantes iguales -> DISTINTO
func_8002B024	136	IGUAL	func_8002B024: 2 de 2 capturas y 32 de 32 variantes iguales -> IGUAL
func_8002B0AC	212	DISTINTO	func_8002B0AC: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8002B180	240	SIN_CAPTURAS	
func_8002B270	76	SIN_CAPTURAS	
func_8002B2BC	480	SIN_CAPTURAS	
func_8002B49C	360	SIN_CAPTURAS	
func_8002B704	236	SIN_CAPTURAS	
func_8002B7F0	32	DISTINTO	func_8002B7F0: 2 de 2 capturas y 9 de 18 variantes iguales -> DISTINTO
func_8002B810	708	SIN_CAPTURAS	
func_8002BAD4	164	DISTINTO	func_8002BAD4: 0 de 2 capturas y 33 de 46 variantes iguales -> DISTINTO
func_8002BB78	668	NO_COMPILA	src/auto/func_8002BB78.c:68:37: error: ‘sp18’ undeclared (first use in this function); did you mean ‘sp1B’?
func_8002BE14	104	IGUAL	func_8002BE14: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_8002BE88	728	DISTINTO	func_8002BE88: 0 de 2 capturas y 0 de 9 variantes iguales -> DISTINTO
func_8002C160	52	DISTINTO	func_8002C160: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8002CB00	32	SIN_CAPTURAS	
func_8002CB2C	132	SIN_CAPTURAS	
func_8002CBB0	0	ERROR	[Errno 12] Cannot allocate memory
func_8002CD3C	376	NO_COMPILA	src/auto/func_8002CD3C.c:157:23: error: ‘func_8002CBB0’ undeclared (first use in this function); did you mean ‘func_8002
func_8002CEB4	0	ERROR	[Errno 12] Cannot allocate memory
func_8002CF28	488	DISTINTO	func_8002CF28: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_8002D170	128	SIN_CAPTURAS	
func_8002D520	28	SIN_CAPTURAS	
func_8002D540	44	SIN_CAPTURAS	
func_8002D56C	424	SIN_CAPTURAS	
func_8002D714	2332	SIN_CAPTURAS	
func_8002E030	196	SIN_CAPTURAS	
func_8002E0F4	8	SIN_CAPTURAS	
func_8002E0FC	280	SIN_CAPTURAS	
func_8002E21C	768	SIN_CAPTURAS	
func_8002E51C	1792	SIN_CAPTURAS	
func_8002EC1C	224	DISTINTO	func_8002EC1C: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8002ECFC	52	DISTINTO	func_8002ECFC: 0 de 2 capturas y 0 de 24 variantes iguales -> DISTINTO
func_8002ED30	28	DISTINTO	func_8002ED30: 0 de 2 capturas y 0 de 27 variantes iguales -> DISTINTO
func_8002ED4C	124	DISTINTO	func_8002ED4C: 0 de 2 capturas y 1 de 23 variantes iguales -> DISTINTO
func_8002EDC8	452	DISTINTO	func_8002EDC8: 0 de 2 capturas y 0 de 26 variantes iguales -> DISTINTO
func_8002EF8C	0	ERROR	[Errno 12] Cannot allocate memory
func_8002EFD0	92	IGUAL	func_8002EFD0: 2 de 2 capturas y 22 de 22 variantes iguales -> IGUAL
func_8002F298	652	NO_COMPILA	src/auto/func_8002F298.c:218:18: error: ‘spDA’ undeclared (first use in this function); did you mean ‘spD8’?
func_8002F524	604	NO_COMPILA	src/auto/func_8002F524.c:202:18: error: ‘spCA’ undeclared (first use in this function); did you mean ‘spC8’?
func_8002F780	544	NO_COMPILA	src/auto/func_8002F780.c:183:18: error: ‘spB6’ undeclared (first use in this function); did you mean ‘spB4’?
func_8002F9A0	604	NO_COMPILA	src/auto/func_8002F9A0.c:204:18: error: ‘spCA’ undeclared (first use in this function); did you mean ‘spC8’?
func_8002FBFC	616	NO_COMPILA	src/auto/func_8002FBFC.c:208:18: error: ‘spCA’ undeclared (first use in this function); did you mean ‘spC8’?
func_8002FE64	184	NO_COMPILA	src/auto/func_8002FE64.c:61:18: error: ‘sp3A’ undeclared (first use in this function); did you mean ‘sp38’?
func_8002FF1C	156	SIN_CAPTURAS	
func_8002FFB8	176	IGUAL	func_8002FFB8: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_80030068	92	IGUAL	func_80030068: 2 de 2 capturas y 23 de 23 variantes iguales -> IGUAL
func_800300C4	104	SIN_CAPTURAS	
func_8003012C	48	DISTINTO	func_8003012C: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8003015C	48	DISTINTO	func_8003015C: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8003018C	16	IGUAL	func_8003018C: 2 de 2 capturas y 30 de 30 variantes iguales -> IGUAL
func_8003019C	108	NO_COMPILA	src/auto/func_8003019C.c:27:47: error: ‘func_8003018C’ undeclared (first use in this function); did you mean ‘func_80030
func_80030208	3164	NO_COMPILA	src/auto/func_80030208.c:93:55: error: ‘func_80024DF4’ undeclared (first use in this function)
func_80030E64	100	NO_COMPILA	src/auto/func_80030E64.c:23:47: error: ‘func_80030208’ undeclared (first use in this function); did you mean ‘func_80030
func_80030EC8	80	SIN_CAPTURAS	
func_80030F18	232	DISTINTO	func_80030F18: 0 de 2 capturas y 0 de 48 variantes iguales -> DISTINTO
func_80031000	180	SIN_CAPTURAS	
func_800313E4	176	SIN_CAPTURAS	
func_80031494	164	DISTINTO	func_80031494: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80031538	352	IGUAL	func_80031538: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_80031698	572	DISTINTO	func_80031698: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_800318D4	32	SIN_CAPTURAS	
func_800318F4	3256	DISTINTO	func_800318F4: 2 de 2 capturas y 29 de 30 variantes iguales -> DISTINTO
func_800325AC	1516	IGUAL	func_800325AC: 2 de 2 capturas y 11 de 11 variantes iguales -> IGUAL
func_80032B98	952	DISTINTO	func_80032B98: 0 de 2 capturas y 0 de 24 variantes iguales -> DISTINTO
func_80032F50	64	IGUAL	func_80032F50: 2 de 2 capturas y 38 de 38 variantes iguales -> IGUAL
func_80032F90	452	DISTINTO	func_80032F90: 0 de 2 capturas y 4 de 22 variantes iguales -> DISTINTO
func_80033AD8	68	IGUAL	func_80033AD8: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_80033B1C	940	DISTINTO	func_80033B1C: 1 de 2 capturas y 8 de 12 variantes iguales -> DISTINTO
func_80033EC8	256	DISTINTO	func_80033EC8: 0 de 2 capturas y 0 de 34 variantes iguales -> DISTINTO
func_80034710	96	SIN_CAPTURAS	
func_80034770	12	SIN_CAPTURAS	
func_8003477C	628	SIN_CAPTURAS	
func_800349F0	1428	SIN_CAPTURAS	
func_80034F84	76	SIN_CAPTURAS	
func_80034FD0	200	DISTINTO	func_80034FD0: 0 de 1 capturas y 0 de 7 variantes iguales -> DISTINTO
func_80035098	12	DISTINTO	func_80035098: 0 de 1 capturas y 0 de 30 variantes iguales -> DISTINTO
func_800350A4	88	DISTINTO	func_800350A4: 0 de 2 capturas y 0 de 23 variantes iguales -> DISTINTO
func_800350FC	148	DISTINTO	func_800350FC: 2 de 2 capturas y 23 de 60 variantes iguales -> DISTINTO
func_80035190	388	DISTINTO	func_80035190: 0 de 2 capturas y 0 de 28 variantes iguales -> DISTINTO
func_80035314	3900	NO_COMPILA	src/auto/func_80035314.c:220:28: error: ‘sp7C’ undeclared (first use in this function); did you mean ‘sp78’?
func_80036250	188	DISTINTO	func_80036250: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_8003630C	260	DISTINTO	func_8003630C: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80036410	276	DISTINTO	func_80036410: 0 de 2 capturas y 0 de 23 variantes iguales -> DISTINTO
func_80036524	204	IGUAL	func_80036524: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_800365F0	656	DISTINTO	func_800365F0: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80036880	1240	DISTINTO	func_80036880: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80036D58	1296	DISTINTO	func_80036D58: 0 de 2 capturas y 0 de 16 variantes iguales -> DISTINTO
func_80037268	16	SIN_CAPTURAS	
func_80037278	496	IGUAL	func_80037278: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_80037468	720	NO_COMPILA	src/auto/func_80037468.c:124:58: error: ‘func_80037738’ undeclared (first use in this function); did you mean ‘func_8003
func_80037738	548	NO_COMPILA	src/auto/func_80037738.c:98:58: error: ‘func_80024F6C’ undeclared (first use in this function)
func_8003795C	188	DISTINTO	func_8003795C: 0 de 2 capturas y 0 de 29 variantes iguales -> DISTINTO
func_80037A18	932	NO_COMPILA	src/auto/func_80037A18.c:39:50: error: ‘sp58’ undeclared (first use in this function); did you mean ‘sp54’?
func_80037DBC	36	SIN_CAPTURAS	
func_80037DE0	256	SIN_CAPTURAS	
func_80037EE0	68	SIN_CAPTURAS	
func_80037F24	560	SIN_CAPTURAS	
func_80038154	200	SIN_CAPTURAS	
func_8003821C	252	DISTINTO	func_8003821C: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80038318	1536	DISTINTO	func_80038318: 1 de 2 capturas y 13 de 24 variantes iguales -> DISTINTO
func_80038918	196	SIN_CAPTURAS	
func_800389DC	280	SIN_CAPTURAS	
func_80038AF4	324	SIN_CAPTURAS	
func_80038C38	256	SIN_CAPTURAS	
func_80038D38	280	SIN_CAPTURAS	
func_80038E50	100	SIN_CAPTURAS	
func_80038EB4	84	SIN_CAPTURAS	
func_80038F08	164	SIN_CAPTURAS	
func_80038FAC	132	SIN_CAPTURAS	
func_80039030	108	SIN_CAPTURAS	
func_8003909C	104	SIN_CAPTURAS	
func_80039104	556	SIN_CAPTURAS	
func_80039330	32	SIN_CAPTURAS	
func_80039350	800	SIN_CAPTURAS	
func_80039670	204	SIN_CAPTURAS	
func_8003973C	76	SIN_CAPTURAS	
func_80039788	132	SIN_CAPTURAS	
func_8003980C	404	SIN_CAPTURAS	
func_800399A0	72	SIN_CAPTURAS	
func_800399E8	76	SIN_CAPTURAS	
func_80039A34	60	SIN_CAPTURAS	
func_80039A70	132	NO_COMPILA	src/auto/func_80039A70.c:29:26: error: ‘sp24’ undeclared (first use in this function)
func_80039AF4	40	IGUAL	func_80039AF4: 2 de 2 capturas y 27 de 27 variantes iguales -> IGUAL
func_80039B1C	132	NO_COMPILA	src/auto/func_80039B1C.c:29:26: error: ‘sp20’ undeclared (first use in this function)
func_80039BA0	40	IGUAL	func_80039BA0: 2 de 2 capturas y 27 de 27 variantes iguales -> IGUAL
func_80039BC8	388	DISTINTO	func_80039BC8: 2 de 2 capturas y 18 de 19 variantes iguales -> DISTINTO
func_80039D4C	132	SIN_CAPTURAS	
func_80039DD0	236	SIN_CAPTURAS	
func_80039EBC	232	SIN_CAPTURAS	
func_80039FA4	204	IGUAL	func_80039FA4: 2 de 2 capturas y 12 de 12 variantes iguales -> IGUAL
func_8003A070	268	DISTINTO	func_8003A070: 0 de 2 capturas y 0 de 11 variantes iguales -> DISTINTO
func_8003A17C	212	DISTINTO	func_8003A17C: 2 de 2 capturas y 8 de 9 variantes iguales -> DISTINTO
func_8003A250	8	IGUAL	func_8003A250: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8003A258	8	SIN_CAPTURAS	
func_8003A260	8	IGUAL	func_8003A260: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8003A46C	184	NO_COMPILA	src/auto/func_8003A46C.c:20:88: error: invalid type argument of unary ‘*’ (have ‘int’)
func_8003A524	556	DISTINTO	func_8003A524: 0 de 2 capturas y 2 de 13 variantes iguales -> DISTINTO
func_8003A750	508	DISTINTO	func_8003A750: 2 de 2 capturas y 15 de 29 variantes iguales -> DISTINTO
func_8003A94C	1244	NO_COMPILA	src/auto/func_8003A94C.c:55:14: error: ‘saved_reg_s2’ undeclared (first use in this function)
func_8003AE84	196	NO_COMPILA	src/auto/func_8003AE84.c:37:37: error: ‘sp24’ undeclared (first use in this function)
func_8003AF48	84	DISTINTO	func_8003AF48: 0 de 2 capturas y 0 de 28 variantes iguales -> DISTINTO
func_8003AF9C	1008	NO_COMPILA	src/auto/func_8003AF9C.c:50:14: error: ‘saved_reg_s3’ undeclared (first use in this function)
func_8003B38C	336	DISTINTO	func_8003B38C: 0 de 2 capturas y 0 de 3 variantes iguales -> DISTINTO
func_8003B4DC	96	SIN_CAPTURAS	
func_8003B53C	64	SIN_CAPTURAS	
func_8003B57C	792	SIN_CAPTURAS	
func_8003B894	660	SIN_CAPTURAS	
func_8003BB28	128	SIN_CAPTURAS	
func_8003BBA8	92	SIN_CAPTURAS	
func_8003BC04	176	SIN_CAPTURAS	
func_8003BCB4	280	SIN_CAPTURAS	
func_8003BDCC	100	SIN_CAPTURAS	
func_8003BE38	396	SIN_CAPTURAS	
func_8003BFC4	40	DISTINTO	func_8003BFC4: 0 de 2 capturas y 0 de 45 variantes iguales -> DISTINTO
func_8003BFEC	508	IGUAL	func_8003BFEC: 2 de 2 capturas y 32 de 32 variantes iguales -> IGUAL
func_8003C1E8	832	NO_COMPILA	src/auto/func_8003C1E8.c:37:49: error: ‘func_8003BFEC’ undeclared (first use in this function); did you mean ‘func_8003C
func_8003C528	336	SIN_CAPTURAS	
func_8003C678	640	SIN_CAPTURAS	
func_8003C8F8	228	DISTINTO	func_8003C8F8: 0 de 2 capturas y 0 de 27 variantes iguales -> DISTINTO
func_8003C9DC	1064	SIN_CAPTURAS	
func_8003CE04	236	SIN_CAPTURAS	
func_8003CEF0	112	SIN_CAPTURAS	
func_8003CF60	172	DISTINTO	func_8003CF60: 0 de 2 capturas y 19 de 31 variantes iguales -> DISTINTO
func_8003D00C	136	IGUAL	func_8003D00C: 2 de 2 capturas y 29 de 29 variantes iguales -> IGUAL
func_8003D094	196	SIN_CAPTURAS	
func_8003D158	8	SIN_CAPTURAS	
func_8003D160	280	SIN_CAPTURAS	
func_8003D278	504	SIN_CAPTURAS	
func_8003D478	380	SIN_CAPTURAS	
func_8003D5F4	500	SIN_CAPTURAS	
func_8003D7E8	20	DISTINTO	func_8003D7E8: 0 de 2 capturas y 2 de 60 variantes iguales -> DISTINTO
func_8003D9D0	116	DISTINTO	func_8003D9D0: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8003DC08	64	IGUAL	func_8003DC08: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8003DC48	252	SIN_CAPTURAS	
func_8003DD44	48	DISTINTO	func_8003DD44: 0 de 2 capturas y 5 de 60 variantes iguales -> DISTINTO
func_8003DD74	16	DISTINTO	func_8003DD74: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8003DD84	28	SIN_CAPTURAS	
func_8003DDA0	92	DISTINTO	func_8003DDA0: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_8003DDFC	108	IGUAL	func_8003DDFC: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_8003DE68	128	SIN_CAPTURAS	
func_8003DEE8	264	SIN_CAPTURAS	
func_8003DFF0	112	SIN_CAPTURAS	
func_8003E060	84	IGUAL	func_8003E060: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_8003E0B4	16	IGUAL	func_8003E0B4: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_8003E0C4	448	SIN_CAPTURAS	
func_8003E284	40	IGUAL	func_8003E284: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8003E2AC	40	SIN_CAPTURAS	
func_8003E2D4	640	SIN_CAPTURAS	
func_8003E554	188	IGUAL	func_8003E554: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8003E610	640	DISTINTO	func_8003E610: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8003E890	132	DISTINTO	func_8003E890: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8003E914	68	SIN_CAPTURAS	
func_8003E958	164	NO_COMPILA	src/auto/func_8003E958.c:30:9: error: invalid type argument of unary ‘*’ (have ‘s32’ {aka ‘int’})
func_8003E9FC	60	SIN_CAPTURAS	
func_8003EA38	88	SIN_CAPTURAS	
func_8003EA90	92	IGUAL	func_8003EA90: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8003EAF8	36	SIN_CAPTURAS	
func_8003F728	36	DISTINTO	func_8003F728: 0 de 2 capturas y 8 de 60 variantes iguales -> DISTINTO
func_8003F7A8	36	DISTINTO	func_8003F7A8: 0 de 2 capturas y 8 de 60 variantes iguales -> DISTINTO
func_8003FD68	40	DISTINTO	func_8003FD68: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8003FD90	24	IGUAL	func_8003FD90: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80041C48	56	SIN_CAPTURAS	
func_80041CD8	560	SIN_CAPTURAS	
func_80041F08	76	DISTINTO	func_80041F08: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80041F54	72	SIN_CAPTURAS	
func_80041FC8	384	SIN_CAPTURAS	
func_800425C8	860	DISTINTO	func_800425C8: 2 de 2 capturas y 56 de 60 variantes iguales -> DISTINTO
func_80042924	116	IGUAL	func_80042924: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80042B68	12	SIN_CAPTURAS	
func_80042B78	1156	IGUAL	func_80042B78: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80043358	104	IGUAL	func_80043358: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_800433C0	288	DISTINTO	func_800433C0: 0 de 2 capturas y 32 de 60 variantes iguales -> DISTINTO
func_800447DC	8	SIN_CAPTURAS	
func_800447E4	1004	DISTINTO	func_800447E4: 0 de 2 capturas y 4 de 20 variantes iguales -> DISTINTO
func_80044BD4	104	DISTINTO	func_80044BD4: 2 de 2 capturas y 33 de 60 variantes iguales -> DISTINTO
func_80044C40	52	DISTINTO	func_80044C40: 0 de 2 capturas y 0 de 28 variantes iguales -> DISTINTO
func_80044D64	196	DISTINTO	func_80044D64: 0 de 2 capturas y 0 de 30 variantes iguales -> DISTINTO
func_80044E28	8	IGUAL	func_80044E28: 2 de 2 capturas y 27 de 27 variantes iguales -> IGUAL
func_80044E30	280	SIN_CAPTURAS	
func_80045278	1788	DISTINTO	func_80045278: 0 de 2 capturas y 0 de 21 variantes iguales -> DISTINTO
func_80045974	196	SIN_CAPTURAS	
func_80045A38	8	SIN_CAPTURAS	
func_80045A40	280	SIN_CAPTURAS	
func_80045B60	404	SIN_CAPTURAS	
func_80045CF4	492	SIN_CAPTURAS	
func_80045EE0	196	SIN_CAPTURAS	
func_80045FA4	8	SIN_CAPTURAS	
